ID	字头	级别	课标字表标记	低段字序	中低段字序	全段字序
1	一	a	表一，308	2	2	2
2	的	a	表一，308	1	1	1
3	了	a	表一，308	3	3	3
4	在	a	表一，308	8	6	7
5	上	a	表一，308	9	10	9
6	是	a	表一，308	6	5	5
7	有	a	表一，308	12	11	8
8	不	a	表一，308	11	7	6
9	来	a	表一，308	10	9	10
10	地	a	表一，308	16	13	14
11	着	a	表一，308	13	12	13
12	大	a	表一，308	15	18	21
13	到	a	表一，308	20	19	20
14	天	a	表一，308	18	24	24
15	里	a	表一，308	21	22	22
16	我	a	表一，308	5	4	4
17	小	a	表一，308	4	8	19
18	子	a	表一，308	7	14	17
19	这	a	表一，308	27	20	15
20	个	a	表一，308	22	21	18
21	下	a	表一，308	32	28	27
22	就	a	表一，308	29	25	25
23	人	a	表一，308	25	17	12
24	们	a	表一，308	19	16	16
25	时	a	表一，308	46	30	26
26	说	a	表一，308	14	23	23
27	起	a	表一，308	34	35	34
28	出	a	表一，308	41	32	33
29	去	a	表一，308	28	29	30
30	得	a	表一	38	33	32
31	看	a	表一，308	24	27	31
32	也	a	表一，308	49	42	36
33	好	a	表一，308	31	39	44
34	么	a	表一	33	36	37
35	把	a	表一，308	36	37	38
36	过	a	表一，308	42	40	39
37	和	a	表一，308	51	43	40
38	他	a	表一，308	17	15	11
39	都	a	表一，308	55	52	51
40	多	a	表一，308	44	47	46
41	那	a	表一，308	48	31	29
42	要	a	表一，308	47	46	45
43	家	a	表一，308	35	41	43
44	你	a	表一，308	26	26	28
45	还	a	表一，308	65	60	59
46	可	a	表一，308	63	55	52
47	又	a	表一，308	45	50	53
48	只	a	表一，308	43	45	47
49	儿	a	表一，308	30	34	41
50	中	a	表一，308	91	49	35
51	自	a	表一，308	68	65	60
52	为	a	表一，308	87	64	49
53	开	a	表一，308	62	66	69
54	会	a	表一，308	59	56	55
55	后	a	表一，308	88	63	54
56	头	a	表一，308	58	51	57
57	没	a	表一，308	64	61	58
58	从	a	表一，308	83	79	74
59	动	a	表一，308	67	77	85
60	样	a	表一，308	92	68	65
61	想	a	表一	54	57	56
62	然	a	表一，308	119	74	62
63	成	a	表一，308	76	78	78
64	能	a	表一	73	71	70
65	生	a	表一，308	81	54	48
66	面	a	表一，308	95	69	63
67	心	a	表一，308	89	81	73
68	很	a	表一，308	53	67	81
69	见	a	表一，308	61	82	86
70	前	a	表一，308	109	96	90
71	高	a	表一，308	71	95	94
72	发	a	表一，308	111	84	84
73	用	a	表一，308	100	83	83
74	道	a	表一，308	99	91	79
75	长	a	表一，308	69	75	77
76	以	a	表一，308	153	94	75
77	走	a	表一，308	66	72	80
78	什	a	表一，308	75	90	95
79	回	a	表一，308	77	80	88
80	对	a	表一，308	97	98	92
81	像	a	表一	82	86	91
82	水	a	表一，308	40	44	50
83	声	a	表一，308	102	76	82
84	作	a	表一，308	107	111	103
85	边	a	表一，308	57	85	93
